Ammodramus bairdii,Baird's Sparrow ,Song Birds,https://www.allaboutbirds.org/guide/Bairds_Sparrow
Ammodramus henslowii,Henslow's Sparrow ,Song Birds,https://www.allaboutbirds.org/guide/Henslows_Sparrow
Ammodramus leconteii,LeConte's Sparrow ,Song Birds,https://www.allaboutbirds.org/guide/LeContes_Sparrow
Ammodramus nelsoni,Nelson's Sparrow ,Song Birds,https://www.allaboutbirds.org/guide/Nelsons_Sparrow
Melospiza melodia,Song Sparrow ,Song Birds,https://www.allaboutbirds.org/guide/Song_Sparrow
Melospiza lincolnii,Lincoln's Sparrow ,Song Birds,https://www.allaboutbirds.org/guide/Lincolns_Sparrow
Melospiza georgiana,Swamp Sparrow ,Song Birds,https://www.allaboutbirds.org/guide/Swamp_Sparrow
Zonotrichia albicollis,White-throated Sparrow ,Song Birds,https://www.allaboutbirds.org/guide/White-throated_Sparrow
Junco hyemalis,Dark-eyed Junco ,Song Birds,https://www.allaboutbirds.org/guide/Dark-eyed_Junco
Piranga rubra,Summer Tanager ,Song Birds,https://www.allaboutbirds.org/guide/Summer_Tanager
Piranga olivacea,Scarlet Tanager ,Song Birds,https://www.allaboutbirds.org/guide/Scarlet_Tanager
Cardinalis cardinalis,Northern Cardinal ,Song Birds,https://www.allaboutbirds.org/guide/Northern_Cardinal
Pheucticus ludovicianus,Rose-breasted Grosbeak ,Song Birds,https://www.allaboutbirds.org/guide/Rose-breasted_Grosbeak
Passerina caerulea,Blue Grosbeak ,Song Birds,https://www.allaboutbirds.org/guide/Blue_Grosbeak
Passerina cyanea,Indigo Bunting ,Song Birds,https://www.allaboutbirds.org/guide/Indigo_Bunting
Spiza americana,Dickcissel ,Song Birds,https://www.allaboutbirds.org/guide/Dickcissel
Dolichonyx oryzivorus,Bobolink ,Song Birds,https://www.allaboutbirds.org/guide/Bobolink
Agelaius phoeniceus,Red-winged Blackbird ,Song Birds,https://www.allaboutbirds.org/guide/Red-winged_Blackbird
Sturnella magna,Eastern Meadowlark ,Song Birds,https://www.allaboutbirds.org/guide/Eastern_Meadowlark
Sturnella neglecta,Western Meadowlark ,Song Birds,https://www.allaboutbirds.org/guide/Western_Meadowlark
Xanthocephalus xanthocephalus,Yellow-headed Blackbird ,Song Birds,https://www.allaboutbirds.org/guide/Yellow-headed_Blackbird
Euphagus cyanocephalus,Brewer's Blackbird ,Song Birds,https://www.allaboutbirds.org/guide/Brewers_Blackbird
Quiscalus quiscula,Common Grackle ,Song Birds,https://www.allaboutbirds.org/guide/Common_Grackle
Quiscalus mexicanus,Great-tailed Grackle ,Song Birds,https://www.allaboutbirds.org/guide/Great-tailed_Grackle
Molothrus ater,Brown-headed Cowbird ,Song Birds,https://www.allaboutbirds.org/guide/Brown-headed_Cowbird
Icterus spurius,Orchard Oriole ,Song Birds,https://www.allaboutbirds.org/guide/Orchard_Oriole
Icterus galbula,Baltimore Oriole ,Song Birds,https://www.allaboutbirds.org/guide/Baltimore_Oriole
Haemorhous mexicanus,House Finch ,Song Birds,https://www.allaboutbirds.org/guide/House_Finch
Haemorhous purpureus,Purple Finch ,Song Birds,https://www.allaboutbirds.org/guide/Purple_Finch
Loxia curvirostra,Red Crossbill ,Song Birds,https://www.allaboutbirds.org/guide/Red_Crossbill
Loxia leucoptera,White-winged Crossbill ,Song Birds,https://www.allaboutbirds.org/guide/White-winged_Crossbill
Spinus pinus,Pine Siskin ,Song Birds,https://www.allaboutbirds.org/guide/Pine_Siskin
Spinus tristis,American Goldfinch ,Song Birds,https://www.allaboutbirds.org/guide/American_Goldfinch
Coccothraustes vespertinus,Evening Grosbeak ,Song Birds,https://www.allaboutbirds.org/guide/Evening_Grosbeak
Passer domesticus,House Sparrow ,Song Birds,https://www.allaboutbirds.org/guide/House_Sparrow
Athene cunicularia,Burrowing Owl,Raptors,https://www.allaboutbirds.org/guide/Burrowing_Owl
Rallus elegans,King Rail,Waterfowl and Wading Birds,https://www.allaboutbirds.org/guide/king_rail
Charadrius melodus,Piping Plover,Shorebirds and Seabirds,https://www.allaboutbirds.org/guide/Piping_Plover
Recurvirostra americana,American Avocet,Shorebirds and Seabirds,https://www.allaboutbirds.org/guide/American_Avocet
Pluvialis dominica,American Golden-Plover,Shorebirds and Seabirds,https://www.allaboutbirds.org/guide/American_Golden-Plover
